210.780	28.288	-180.426	3.7045	0.1315	0.03649
220.159	33.301	-181.304	1.1456	-0.2589	0.11085
215.178	30.423	-169.998	5.1399	-0.0034	0.17292
211.002	28.285	-179.204	5.5638	-0.3264	0.05404
213.361	29.522	-172.831	2.6257	-0.4426	0.08393
217.212	30.877	-173.988	4.6805	0.4736	0.18418
212.908	28.885	-184.811	5.1909	-0.0100	0.04531
203.976	27.895	-177.130	6.0588	0.2667	0.02178
204.804	28.624	-168.923	4.1086	-0.1291	0.14286
204.126	27.731	-174.754	0.1199	-0.0127	0.06891
207.744	28.752	-176.542	0.7296	0.4595	0.05248
207.499	29.066	-172.801	5.2470	-0.5525	0.13653
204.211	29.120	-165.686	4.3137	-0.4861	0.12626
215.032	32.425	-175.346	1.0790	0.3962	0.17747
199.891	27.284	-169.084	3.0242	0.4626	0.06605
215.572	31.527	-156.437	1.4234	0.1038	0.10438
211.366	28.990	-159.380	6.2553	-0.4094	0.13752
210.246	28.928	-159.718	5.2604	0.1576	0.08640
203.869	29.092	-150.976	6.2554	0.1434	0.17140
203.315	27.534	-159.431	1.6429	0.1505	0.05045
216.532	31.437	-158.565	5.9176	0.4877	0.11828
209.778	29.088	-157.541	2.6582	0.3229	0.08394
204.919	28.579	-155.002	4.8795	0.4242	0.08426
211.711	30.074	-154.819	4.2967	-0.4358	0.14216
205.910	27.573	-161.610	4.5182	0.1017	0.03847
195.361	28.429	-152.008	5.3889	0.4268	0.11467
199.960	29.878	-149.989	1.3974	0.5796	0.17399
196.666	29.286	-149.595	0.5441	0.4649	0.13291
201.271	28.330	-156.906	2.5777	-0.3467	0.06211
205.853	30.481	-153.980	2.7945	-0.0267	0.14102
201.670	30.305	-151.679	0.9381	-0.3742	0.10049
201.377	27.600	-161.814	1.3952	-0.2065	0.03940
202.617	29.259	-155.375	4.6840	0.1163	0.07483
200.078	29.730	-151.152	3.9885	-0.5911	0.17573
203.174	29.196	-155.759	5.3092	-0.2736	0.10635
195.843	29.243	-151.502	3.4690	-0.2627	0.10840
194.506	27.882	-155.638	6.0728	0.2539	0.05479
196.406	28.496	-154.381	2.8845	0.1442	0.06420
196.744	30.581	-148.423	5.2205	0.1055	0.17298
187.952	27.141	-155.227	3.2807	0.5219	0.05239
182.704	27.743	-151.787	2.6305	-0.5012	0.09761
187.460	27.560	-152.056	0.8127	0.3752	0.02933
