217.013	26.433	-173.508	-2.1952	16.065	0.850	3.135
200.917	25.932	-150.517	-2.8689	11.519	0.850	3.109
202.179	37.832	-157.688	-2.7704	14.270	0.850	3.979
191.983	26.716	-147.251	-3.0981	9.961	0.850	4.304
178.526	37.768	-149.614	2.9956	12.544	0.850	4.316
176.255	46.473	-147.998	3.0141	9.374	0.850	3.136
179.218	26.051	-145.461	3.0213	9.658	0.850	4.040
170.320	26.051	-148.439	2.9794	15.808	0.850	4.184
167.322	44.713	-150.426	2.9144	15.329	0.850	4.350
168.789	38.275	-151.999	2.9493	13.988	0.850	4.527
168.132	48.999	-150.323	2.9258	9.389	0.850	4.653
165.533	35.977	-152.971	2.8979	16.218	0.850	4.782
157.772	25.817	-148.848	2.9051	9.561	0.850	3.228
156.132	47.920	-153.809	2.9102	10.807	0.850	3.097
157.494	37.662	-152.884	2.9220	16.661	0.850	4.727
157.422	23.551	-149.296	2.8370	14.976	0.850	3.906
144.378	37.143	-154.127	2.8644	13.940	0.850	3.121
143.213	23.257	-153.325	2.8294	16.386	0.850	4.431
143.955	42.957	-152.825	2.9116	13.975	0.850	3.948
143.371	25.495	-153.324	2.8770	10.554	0.850	4.511
143.671	45.289	-153.041	2.9310	15.419	0.850	4.217
137.914	23.872	-159.476	2.9499	14.447	0.850	4.246
132.164	35.391	-159.367	2.9533	15.439	0.850	4.551
127.190	23.061	-158.353	3.0548	9.276	0.850	3.608
129.666	39.718	-165.184	3.0768	9.792	0.850	4.002
126.277	50.878	-162.056	-3.0186	14.616	0.850	4.714
125.422	48.307	-161.728	-2.9783	13.657	0.850	4.482
124.237	38.107	-162.413	-3.0356	15.572	0.850	4.176
121.163	41.978	-169.929	-1.9363	11.250	0.850	4.307
120.879	45.906	-170.084	-1.7623	13.867	0.850	3.365
119.855	42.685	-168.859	-1.6897	10.371	0.850	4.178
119.650	38.356	-161.221	-1.6294	10.464	0.850	3.332
119.468	33.205	-164.189	-1.5375	13.968	0.850	3.459
116.476	26.142	-162.794	-1.6074	14.811	0.850	4.792
115.979	36.017	-161.107	-1.5300	16.807	0.850	4.565
116.383	25.701	-161.506	-1.4830	12.904	0.850	3.865
115.729	44.384	-158.781	-1.5449	10.189	0.850	3.493
116.796	21.816	-159.207	-1.5558	12.821	0.850	4.014
95.041	20.601	-114.372	-2.9499	12.767	0.850	3.502
94.335	21.229	-113.159	-2.9987	16.479	0.850	3.346
93.417	33.269	-111.942	-2.9939	14.622	0.850	3.398
83.339	28.397	-113.852	-2.9185	9.379	0.850	3.204
83.370	18.524	-107.956	-2.9584	16.324	0.850	3.582
82.092	31.432	-110.563	-2.9947	14.343	0.850	3.546
81.820	28.067	-110.693	-2.9004	10.690	0.850	3.514
79.039	20.791	-106.897	-2.9064	12.966	0.850	3.104
75.258	18.394	-107.654	-3.0326	11.459	0.850	4.148
71.050	23.486	-109.360	-2.9679	15.602	0.850	4.553
61.379	39.344	-106.246	3.1793	10.690	0.850	4.363
59.384	19.403	-104.677	3.1142	9.714	0.850	3.548
58.647	30.146	-105.324	3.1468	15.854	0.850	3.374
44.047	16.952	-106.830	3.0285	14.079	0.850	3.482
46.825	30.976	-110.323	2.9419	9.236	0.850	4.062
49.675	19.199	-106.526	2.9779	16.826	0.850	4.741
48.852	21.568	-106.225	2.9226	9.335	0.850	4.037
35.293	18.920	-105.543	2.8273	11.387	0.850	3.135
40.149	36.918	-109.019	2.8378	10.917	0.850	3.541
40.813	30.426	-107.294	2.9415	9.128	0.850	3.486
21.155	16.502	-108.200	2.7363	9.857	0.850	3.361
19.914	28.497	-111.582	2.7254	10.533	0.850	3.597
19.083	40.701	-111.593	2.7603	13.498	0.850	4.648
